Name,Category,Phone,City,State,License Number,Why Kept
Lindbergh Auto Sales,Motor Vehicle Dealer (general),,Pawtucket,RI,15,State-licensed dealer - Sep 13 push
Lonsdale Auto Sales,Motor Vehicle Dealer (general),,Lincoln,RI,71,State-licensed dealer - Sep 13 push
"Lucio’s Auto Sales and Service, Inc.",Motor Vehicle Dealer (general),,Providence,RI,610,State-licensed dealer - Sep 13 push
M&J Auto Sales & Body,Motor Vehicle Dealer (general),,Central Falls,RI,544,State-licensed dealer - Sep 13 push
"M&S Motors, Inc.",Motor Vehicle Dealer (general),,Providence,RI,759,State-licensed dealer - Sep 13 push
"MAC Enterprises, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,664,State-licensed dealer - Sep 13 push
Main Street Motors,Motor Vehicle Dealer (general),,Fiskeville,RI,144,State-licensed dealer - Sep 13 push
Markos Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,433,State-licensed dealer - Sep 13 push
"Mel’s Motors Used Cars Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,106,State-licensed dealer - Sep 13 push
Mercedes Benz of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,162,State-licensed dealer - Sep 13 push
"Metacom Auto Sales, Inc.",Motor Vehicle Dealer (general),,Warren,RI,355,State-licensed dealer - Sep 13 push
Michaels Auto Sales LLC,Motor Vehicle Dealer (general),,North Providence,RI,711,State-licensed dealer - Sep 13 push
Michaels JS Auto Sales and Service,Motor Vehicle Dealer (general),,North Providence,RI,190,State-licensed dealer - Sep 13 push
Millers Truck Sales & Repair,Motor Vehicle Dealer (general),,Lincoln,RI,76,State-licensed dealer - Sep 13 push
Mini of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,222,State-licensed dealer - Sep 13 push
"Miracle Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,89,State-licensed dealer - Sep 13 push
"Moe’s Auto Sales & Service, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,686,State-licensed dealer - Sep 13 push
Mongeon Auto and Truck Corp.,Motor Vehicle Dealer (general),,No Smithfield,RI,399,State-licensed dealer - Sep 13 push
"Monte Carlo Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,646,State-licensed dealer - Sep 13 push
Moretti’s Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,502,State-licensed dealer - Sep 13 push
"Motors East,Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,218,State-licensed dealer - Sep 13 push
Motorworld Powersports & Golf Cars,Motor Vehicle Dealer (general),,North Kingstown,RI,,State-licensed dealer - Sep 13 push
"MTR Racing, Inc.",Motor Vehicle Dealer (general),,Woonsocket,RI,64,State-licensed dealer - Sep 13 push
"Municipal Auto Sales, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,195,State-licensed dealer - Sep 13 push
"Mutter Motors, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,248,State-licensed dealer - Sep 13 push
"New Century Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,561,State-licensed dealer - Sep 13 push
New England Auto Sales,Motor Vehicle Dealer (general),,Warwick,RI,326,State-licensed dealer - Sep 13 push
"New Rides Auto Sales & Service, LLC",Motor Vehicle Dealer (general),,Johnston,RI,234,State-licensed dealer - Sep 13 push
Newport Chrysler Dodge Jeep and Ram,Motor Vehicle Dealer (general),,Middletown,RI,453,State-licensed dealer - Sep 13 push
Nick’s Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,293,State-licensed dealer - Sep 13 push
"North American Auto Sales ""Annex""",Motor Vehicle Dealer (general),,North Providence,RI,25,State-licensed dealer - Sep 13 push
"North American Auto Sales""MAIN""",Motor Vehicle Dealer (general),,Providence,RI,72,State-licensed dealer - Sep 13 push
"North Smithfield Auto Sales, Inc.",Motor Vehicle Dealer (general),,North Smithfield,RI,417,State-licensed dealer - Sep 13 push
Nuni's Auto Sales & Service,Motor Vehicle Dealer (general),,Providence,RI,660,State-licensed dealer - Sep 13 push
Ocean State Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,634,State-licensed dealer - Sep 13 push
Onsite Truck Repair & Auto Sales,Motor Vehicle Dealer (general),,Pawtucket,RI,407,State-licensed dealer - Sep 13 push
Outkast Truck Sales,Motor Vehicle Dealer (general),,Warwick,RI,351,State-licensed dealer - Sep 13 push
"P&J Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,130,State-licensed dealer - Sep 13 push
Park Avenue Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,385,State-licensed dealer - Sep 13 push
Partners Auto Auction RI,Motor Vehicle Dealer (general),,Foster,RI,801,State-licensed dealer - Sep 13 push
Passport Automotive Group,Motor Vehicle Dealer (general),,Cranston,RI,485,State-licensed dealer - Sep 13 push
"Pat’s Auto Sales Auto Body, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,630,State-licensed dealer - Sep 13 push
"Patriot Autocenter, LLC",Motor Vehicle Dealer (general),,Johnston,RI,600,State-licensed dealer - Sep 13 push
"Paul Masse Buick-GMC South, Inc.",Motor Vehicle Dealer (general),,South Kingstown,RI,280,State-licensed dealer - Sep 13 push
"Paul Masse Chevrolet South, Inc.",Motor Vehicle Dealer (general),,Wakefield,RI,117,State-licensed dealer - Sep 13 push
"Paul Masse Chevrolet, Inc.",Motor Vehicle Dealer (general),,East Providence,RI,188,State-licensed dealer - Sep 13 push
"Pavilion Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,741,State-licensed dealer - Sep 13 push
"Perlow’s Auto Sales ""Annex""",Motor Vehicle Dealer (general),,Pawtucket,RI,663,State-licensed dealer - Sep 13 push
Perlow’s Auto Sales “Main”,Motor Vehicle Dealer (general),,Pawtucket,RI,481,State-licensed dealer - Sep 13 push
The Peterbilt Store- Rhode Island,Motor Vehicle Dealer (general),,Johnston,RI,289,State-licensed dealer - Sep 13 push
Pistacchio Auto Service Center & Sales,Motor Vehicle Dealer (general),,Johnston,RI,324,State-licensed dealer - Sep 13 push
"Plainfield Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,679,State-licensed dealer - Sep 13 push
Plante’s Auto Sales,Motor Vehicle Dealer (general),,Woonsocket,RI,695,State-licensed dealer - Sep 13 push
PM AUTO SALES,Motor Vehicle Dealer (general),,Pawtucket,RI,511,State-licensed dealer - Sep 13 push
PMG Auto Sales,Motor Vehicle Dealer (general),,North Providence,RI,631,State-licensed dealer - Sep 13 push
Porcelli's Auto Sales,Motor Vehicle Dealer (general),,West Warwick,RI,519,State-licensed dealer - Sep 13 push
Porsche Warwick,Motor Vehicle Dealer (general),,Warwick,RI,10,State-licensed dealer - Sep 13 push
Portsmouth Auto Sales & Repair,Motor Vehicle Dealer (general),,Portsmouth,RI,586,State-licensed dealer - Sep 13 push
Powell Motors,Motor Vehicle Dealer (general),,North Smithfield,RI,546,State-licensed dealer - Sep 13 push
"Precision Auto Sales & Body Works, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,624,State-licensed dealer - Sep 13 push
"Precision Harley Davidson, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,390,State-licensed dealer - Sep 13 push
"Premier Automotive Sales ""Annex""",Motor Vehicle Dealer (general),,Warwick,RI,211,State-licensed dealer - Sep 13 push
"Premier Automotive Sales ""Main""",Motor Vehicle Dealer (general),,Warwick,RI,183,State-licensed dealer - Sep 13 push
"Premium Auto Sales, LLC",Motor Vehicle Dealer (general),,Tiverton,RI,391,State-licensed dealer - Sep 13 push
Prestige Mitsubishi,Motor Vehicle Dealer (general),,East Providence,RI,672,State-licensed dealer - Sep 13 push
Prime Cars USA Auto Sales LLC,Motor Vehicle Dealer (general),,Warwick,RI,658,State-licensed dealer - Sep 13 push
R & A Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,650,State-licensed dealer - Sep 13 push
Ralph & Sons Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,201,State-licensed dealer - Sep 13 push
Ramoncito Auto Solution and Sales,Motor Vehicle Dealer (general),,Smithfield,RI,409,State-licensed dealer - Sep 13 push
Ranaldi Motors,Motor Vehicle Dealer (general),,Cranston,RI,773,State-licensed dealer - Sep 13 push
Rapoza’s Quality Automobiles,Motor Vehicle Dealer (general),,Tiverton,RI,604,State-licensed dealer - Sep 13 push
"Razee Motorcycle Center, Inc.",Motor Vehicle Dealer (general),,North Kingstown,RI,416,State-licensed dealer - Sep 13 push
Reliable Auto Sales,Motor Vehicle Dealer (general),,West Warwick,RI,629,State-licensed dealer - Sep 13 push
Rhode Island Truck & Equipment Corp.,Motor Vehicle Dealer (general),,West Warwick,RI,344,State-licensed dealer - Sep 13 push
"Rhode Island Truck Center, LLC",Motor Vehicle Dealer (general),,East Providence,RI,419,State-licensed dealer - Sep 13 push
"Richmond Motor Sales, Inc ""ANNEX II",Motor Vehicle Dealer (general),,Providence,RI,471,State-licensed dealer - Sep 13 push
"Richmond Motor Sales, Inc. ""MAIN""",Motor Vehicle Dealer (general),,Providence,RI,421,State-licensed dealer - Sep 13 push
"Richmond Motor Sales, Inc ""ANNEX""",Motor Vehicle Dealer (general),,Pawtucket,RI,478,State-licensed dealer - Sep 13 push
"Rivas Auto Sales & Repairs, Inc.",Motor Vehicle Dealer (general),,Providence,RI,374,State-licensed dealer - Sep 13 push
Riverside Auto Sales and Service,Motor Vehicle Dealer (general),,Riverside,RI,520,State-licensed dealer - Sep 13 push
Roger Williams Auto Sales,Motor Vehicle Dealer (general),,West Warwick,RI,412,State-licensed dealer - Sep 13 push
"Rossi's Auto Care Sales & Service, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,376,State-licensed dealer - Sep 13 push
"Rounds Auto Sales Co., Inc.",Motor Vehicle Dealer (general),,North Scituate,RI,315,State-licensed dealer - Sep 13 push
"Route 146 Auto Sales, Inc.",Motor Vehicle Dealer (general),,N Smithfield,RI,128,State-licensed dealer - Sep 13 push
"Route 44 Auto Sales, Inc.",Motor Vehicle Dealer (general),,Greenville,RI,522,State-licensed dealer - Sep 13 push
Route 5 Auto Sales & Service,Motor Vehicle Dealer (general),,Smithfield,RI,394,State-licensed dealer - Sep 13 push
RS Auto Sales & Rental,Motor Vehicle Dealer (general),,Pawtucket,RI,237,State-licensed dealer - Sep 13 push
Rt 6 Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,231,State-licensed dealer - Sep 13 push
Russ’ Ocean State Harley Davidson,Motor Vehicle Dealer (general),,Warwick,RI,608,State-licensed dealer - Sep 13 push
"Russo’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,226,State-licensed dealer - Sep 13 push
"Ryder Vehicle Sales, LLC",Motor Vehicle Dealer (general),,Warwick,RI,427,State-licensed dealer - Sep 13 push
S & D Road Service & Auto Sales,Motor Vehicle Dealer (general),,Cumberland,RI,680,State-licensed dealer - Sep 13 push
S & S Auto Sales & Repair,Motor Vehicle Dealer (general),,Providence,RI,298,State-licensed dealer - Sep 13 push
S&H Auto Sales,Motor Vehicle Dealer (general),,Coventry,RI,342,State-licensed dealer - Sep 13 push
Saccucci Honda,Motor Vehicle Dealer (general),,Middletown,RI,371,State-licensed dealer - Sep 13 push
"Safeway Auto Sales, Inc. ""Main""",Motor Vehicle Dealer (general),,Bristol,RI,319,State-licensed dealer - Sep 13 push
Sam's Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,330,State-licensed dealer - Sep 13 push
Sandy Lane Auto Sales and Repair,Motor Vehicle Dealer (general),,Warwick,RI,115,State-licensed dealer - Sep 13 push
"Sandy Motors, Inc.",Motor Vehicle Dealer (general),,Coventry,RI,247,State-licensed dealer - Sep 13 push
Scituate Power Equipment,Motor Vehicle Dealer (general),,North Scituate,RI,766,State-licensed dealer - Sep 13 push
Scott Volkswagen,Motor Vehicle Dealer (general),,East Providence,RI,403,State-licensed dealer - Sep 13 push
Shannon Motors,Motor Vehicle Dealer (general),,Johnston,RI,574,State-licensed dealer - Sep 13 push
Solutions Auto Sales & body,Motor Vehicle Dealer (general),,Providence,RI,172,State-licensed dealer - Sep 13 push
Shannon Motors Woonsocket,Motor Vehicle Dealer (general),,Woonsocket,RI,192,State-licensed dealer - Sep 13 push
"Shoreline Auto Sales, LLC",Motor Vehicle Dealer (general),,Richmond,RI,345,State-licensed dealer - Sep 13 push
Showcase Auto Sales Of East Providence,Motor Vehicle Dealer (general),,East Providence,RI,687,State-licensed dealer - Sep 13 push
Simon Auto Group 1038-1040,Motor Vehicle Dealer (general),,North Providence,RI,11,State-licensed dealer - Sep 13 push
Smith Street Auto Sales and Repair,Motor Vehicle Dealer (general),,North Providence,RI,103,State-licensed dealer - Sep 13 push
"Smithfield Motor Sales, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,524,State-licensed dealer - Sep 13 push
"Smithfield Classic Cars & Auto Sales, LLC",Motor Vehicle Dealer (general),,Smithfield,RI,548,State-licensed dealer - Sep 13 push
"Soda Motors Auto Sales, LLC",Motor Vehicle Dealer (general),,Newport,RI,137,State-licensed dealer - Sep 13 push
Solution Auto Sales & Body,Motor Vehicle Dealer (general),,Providence,RI,80,State-licensed dealer - Sep 13 push
Sousa’s Auto Sales & Body,Motor Vehicle Dealer (general),,Pawtucket,RI,594,State-licensed dealer - Sep 13 push
Speedcraft Acura,Motor Vehicle Dealer (general),,West Warwick,RI,197,State-licensed dealer - Sep 13 push
Speedcraft Nissan 885,Motor Vehicle Dealer (general),,West Warwick,RI,151,State-licensed dealer - Sep 13 push
Speedcraft Volkswagen,Motor Vehicle Dealer (general),,Wakefield,RI,29,State-licensed dealer - Sep 13 push
Stafford Auto Sales,Motor Vehicle Dealer (general),,Tiverton,RI,429,State-licensed dealer - Sep 13 push
Stamas Auto & Truck Center,Motor Vehicle Dealer (general),,Cranston,RI,362,State-licensed dealer - Sep 13 push
State Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,702,State-licensed dealer - Sep 13 push
Steingold Volvo,Motor Vehicle Dealer (general),,Pawtucket,RI,99,State-licensed dealer - Sep 13 push
Stephens Auto Sales,Motor Vehicle Dealer (general),,West Warwick,RI,262,State-licensed dealer - Sep 13 push
Stone Motors,Motor Vehicle Dealer (general),,North Smithfield,RI,97,State-licensed dealer - Sep 13 push
"Supreme Auto , Inc",Motor Vehicle Dealer (general),,Lincoln,RI,378,State-licensed dealer - Sep 13 push
Sylla Automotive Sales And Service,Motor Vehicle Dealer (general),,North Providence,RI,,State-licensed dealer - Sep 13 push
NucarTarbox Hyundai,Motor Vehicle Dealer (general),,North Kingstown,RI,180,State-licensed dealer - Sep 13 push
Nucar Tarbox Toyota,Motor Vehicle Dealer (general),,North Kingstown,RI,187,State-licensed dealer - Sep 13 push
Tasca Buick GMC,Motor Vehicle Dealer (general),,Woonsocket,RI,67,State-licensed dealer - Sep 13 push
Tasca Chevrolet,Motor Vehicle Dealer (general),,Woonsocket,RI,157,State-licensed dealer - Sep 13 push
Tasca Chrysler Dodge Jeep Ram Fiat,Motor Vehicle Dealer (general),,Johnston,RI,77,State-licensed dealer - Sep 13 push
Tasca Ford,Motor Vehicle Dealer (general),,Cranston,RI,91,State-licensed dealer - Sep 13 push
Tasca Kia,Motor Vehicle Dealer (general),,Johnston,RI,2,State-licensed dealer - Sep 13 push
Tasca Lincoln Mercury,Motor Vehicle Dealer (general),,Cranston,RI,127,State-licensed dealer - Sep 13 push
Tasca Mazda,Motor Vehicle Dealer (general),,Cranston,RI,204,State-licensed dealer - Sep 13 push
Tasca Nissan,Motor Vehicle Dealer (general),,East Providence,RI,701,State-licensed dealer - Sep 13 push
Tasca Volvo,Motor Vehicle Dealer (general),,Cranston,RI,210,State-licensed dealer - Sep 13 push
"Terry’s Auto, Limited",Motor Vehicle Dealer (general),,Woonsocket,RI,473,State-licensed dealer - Sep 13 push
Team Bespoke Auto Sales LLC,Motor Vehicle Dealer (general),,Warren,RI,590,State-licensed dealer - Sep 13 push
Tesla,Motor Vehicle Dealer (general),,Providence,RI,225,State-licensed dealer - Sep 13 push
"The Car Lot, Inc. ""Annex""",Motor Vehicle Dealer (general),,Cranston,RI,640,State-licensed dealer - Sep 13 push
"The Car Lot, Inc. ""Main""",Motor Vehicle Dealer (general),,Cranston,RI,19,State-licensed dealer - Sep 13 push
The Scooter Palace,Motor Vehicle Dealer (general),,Tiverton,RI,490,State-licensed dealer - Sep 13 push
"Tiki's Auto Sales ""Annex""",Motor Vehicle Dealer (general),,Pawtucket,RI,70,State-licensed dealer - Sep 13 push
"Tiki's Auto Sales ""Main""",Motor Vehicle Dealer (general),,Pawtucket,RI,61,State-licensed dealer - Sep 13 push
"Tiverton Motor Sales, Inc.",Motor Vehicle Dealer (general),,Tiverton,RI,311,State-licensed dealer - Sep 13 push
Tony’s Auto Sales & Service,Motor Vehicle Dealer (general),,East Providence,RI,57,State-licensed dealer - Sep 13 push
"Topline Motors, Inc.",Motor Vehicle Dealer (general),,Woonsocket,RI,126,State-licensed dealer - Sep 13 push
Tourbillon Truck & Trailer Sales,Motor Vehicle Dealer (general),,North Scituate,RI,266,State-licensed dealer - Sep 13 push
"Towne Motor Sales, Inc.",Motor Vehicle Dealer (general),,Tiverton,RI,538,State-licensed dealer - Sep 13 push
Toyota of Smithfield,Motor Vehicle Dealer (general),,Smithfield,RI,242,State-licensed dealer - Sep 13 push
"Trail Auto Sales, Inc.",Motor Vehicle Dealer (general),,East Providence,RI,14,State-licensed dealer - Sep 13 push
"Truck Solutions Solutions Sales and Service, LLC",Motor Vehicle Dealer (general),,Slatersville,RI,299,State-licensed dealer - Sep 13 push
Twiggs Auto Sales,Motor Vehicle Dealer (general),,Warren,RI,328,State-licensed dealer - Sep 13 push
"Twisted Throttle, LLC",Motor Vehicle Dealer (general),,Exeter,RI,156,State-licensed dealer - Sep 13 push
"United Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,74,State-licensed dealer - Sep 13 push
"Valenti Subaru, Inc.",Motor Vehicle Dealer (general),,Westerly,RI,238,State-licensed dealer - Sep 13 push
Valenti Toyota,Motor Vehicle Dealer (general),,Westerly,RI,124,State-licensed dealer - Sep 13 push
Valley Street Auto Sales,Motor Vehicle Dealer (general),,Providence221 Washington Highway Route,RI,756,State-licensed dealer - Sep 13 push
Variety Auto Sales,Motor Vehicle Dealer (general),,Smithfield,RI,118,State-licensed dealer - Sep 13 push
"Viti, Inc.",Motor Vehicle Dealer (general),,Tiverton,RI,563,State-licensed dealer - Sep 13 push
Volare Motors,Motor Vehicle Dealer (general),,Cranston,RI,732,State-licensed dealer - Sep 13 push
Volvo of Tiverton,Motor Vehicle Dealer (general),,Tiverton,RI,251,State-licensed dealer - Sep 13 push
"Walsh’s Auto Body & Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,438,State-licensed dealer - Sep 13 push
"Warwick Auto Sales, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,270,State-licensed dealer - Sep 13 push
Wellington Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,719,State-licensed dealer - Sep 13 push
West End Auto Sales & Collision Service Inc,Motor Vehicle Dealer (general),,Providence,RI,736,State-licensed dealer - Sep 13 push
"West Fountain Auto Sales & Body, Inc.",Motor Vehicle Dealer (general),,Providence,RI,196,State-licensed dealer - Sep 13 push
West Park Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,265,State-licensed dealer - Sep 13 push
"West Warwick Auto City, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,616,State-licensed dealer - Sep 13 push
"Westerly Auto Sales, Inc.",Motor Vehicle Dealer (general),,Westerly,RI,554,State-licensed dealer - Sep 13 push
Westerly Chrysler Dodge Jeep and Ram,Motor Vehicle Dealer (general),,Westerly,RI,562,State-licensed dealer - Sep 13 push
"Westminster Motors, LTD",Motor Vehicle Dealer (general),,Providence,RI,269,State-licensed dealer - Sep 13 push
Wheel’s of Freedom Cycle,Motor Vehicle Dealer (general),,Pawtucket,RI,333,State-licensed dealer - Sep 13 push
"Windmill Auto Sales & Body, Inc.",Motor Vehicle Dealer (general),,North Providence,RI,765,State-licensed dealer - Sep 13 push
Woonsocket Motors,Motor Vehicle Dealer (general),,Woonsocket,RI,740,State-licensed dealer - Sep 13 push
"Ziggy’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,North Kingstown,RI,174,State-licensed dealer - Sep 13 push
Zink's Auto Sales & Service,Motor Vehicle Dealer (general),,Cranston,RI,297,State-licensed dealer - Sep 13 push
"Zippys Auto Sales, Inc.",Motor Vehicle Dealer (general),,Woonsocket,RI,677,State-licensed dealer - Sep 13 push
