Name,Category,Phone,City,State,License Number,Why Kept
Balise Volkswagen,Motor Vehicle Dealer (general),,West Warwick,RI,491,State-licensed dealer - Sep 13 push
Balise Chevrolet of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,146,State-licensed dealer - Sep 13 push
Balise Honda of West Warwick,Motor Vehicle Dealer (general),,West Warwick,RI,307,State-licensed dealer - Sep 13 push
Balise Nissan,Motor Vehicle Dealer (general),,Warwick,RI,59,State-licensed dealer - Sep 13 push
Balise Subaru,Motor Vehicle Dealer (general),,West Warwick,RI,6,State-licensed dealer - Sep 13 push
Balise Toyota Of Warwick 1400,Motor Vehicle Dealer (general),,Warwick,RI,102,State-licensed dealer - Sep 13 push
"Ballard Mack Sales & Service of RI, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,20,State-licensed dealer - Sep 13 push
"Barreiros Auto Sales, Inc.",Motor Vehicle Dealer (general),,Lincoln,RI,595,State-licensed dealer - Sep 13 push
"Beam Truck & Body, Inc.",Motor Vehicle Dealer (general),,Woonsocket,RI,647,State-licensed dealer - Sep 13 push
"Bernier’s Auto & Trailer Sales, LLC",Motor Vehicle Dealer (general),,Woonsocket,RI,336,State-licensed dealer - Sep 13 push
"Best Wheels Imports, LLC",Motor Vehicle Dealer (general),,Johnston,RI,212,State-licensed dealer - Sep 13 push
"Blackstone Auto Sales and Body, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,69,State-licensed dealer - Sep 13 push
BMW of Newport 1235,Motor Vehicle Dealer (general),,Middletown,RI,450,State-licensed dealer - Sep 13 push
BMW of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,68,State-licensed dealer - Sep 13 push
Bob’s Motorcycle Sales,Motor Vehicle Dealer (general),,Ashaway,RI,414,State-licensed dealer - Sep 13 push
"Brittany Motors, LTD",Motor Vehicle Dealer (general),,Johnston,RI,40,State-licensed dealer - Sep 13 push
"Bucci’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,661,State-licensed dealer - Sep 13 push
Burrillville Motor Sales Inc.,Motor Vehicle Dealer (general),,Pascoag,RI,4,State-licensed dealer - Sep 13 push
"C & S Specialty, Inc",Motor Vehicle Dealer (general),,North Smithfield,RI,240,State-licensed dealer - Sep 13 push
Calco Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,556,State-licensed dealer - Sep 13 push
Cambio’s Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,684,State-licensed dealer - Sep 13 push
"Capital Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,111,State-licensed dealer - Sep 13 push
"Capital Car Center, Inc.",Motor Vehicle Dealer (general),,Providence,RI,458,State-licensed dealer - Sep 13 push
Capital City Auto Sales Main,Motor Vehicle Dealer (general),,Providence,RI,87,State-licensed dealer - Sep 13 push
